Year,Sheriffdom,Court,Postcode,X_Easting,Y_Northing,Latitude,Longitude,fp_ValImp,fp_ValPaid,fp_ValDis,cr_ValReg,cr_ValDis,cr_TotValtbp,cr_ValPaidtd,cr_Valpot,cr_ValArrears,cr_ValFinesptd_percent,fp_NumImp,fp_NumFullyPaid,fp_NumDischa,cr_NumReg,cr_NumDischa,cr_Numtbp,cr_NumFullyPaid,cr_Numpot,cr_NumArrears,cr_NumNoPayRec,cr_NumFullyPaid_percent
y17_18,Glasgow & Strathkelvin,Glasgow,G5 9DA,259022,664496,55.852989,-4.2536079,129 ,48 ,81 ,120 ,13 ,107 ,46 ,9 ,52 ,0.61 ,3213,1199,2014,2005,229,1776,723,168,57,828,0.65 
y17_18,Grampian Highland & Islands,Aberdeen,AB10 1WP,394371,806359,57.14808,-2.0946643,53 ,33 ,20 ,28 ,5 ,22 ,21 ,0 ,1 ,0.98 ,1333,836,497,460,94,366,346,2,2,16,0.98 
y17_18,Grampian Highland & Islands,Banff,AB45 1AU,368963,863907,57.663972,-2.5218647,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.94 ,21,16,5,10,4,6,5,0,0,1,0.95 
y17_18,Grampian Highland & Islands,Elgin,IV30 1BU,321739,862853,57.648763,-3.3128578,4 ,3 ,2 ,2 ,0 ,2 ,2 ,0 ,0 ,0.97 ,109,69,40,39,6,33,31,1,0,1,0.98 
y17_18,Grampian Highland & Islands,Fort William,PH33 6EE,209971,773649,56.815398,-5.1148998,2 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0.98 ,54,32,22,22,3,19,18,1,0,0,0.98 
y17_18,Grampian Highland & Islands,Inverness,IV1 1AH,266984,846201,57.48646,-4.2204915,12 ,5 ,6 ,9 ,3 ,5 ,5 ,0 ,0 ,0.97 ,289,137,152,144,60,84,79,3,0,2,0.98 
y17_18,Grampian Highland & Islands,Kirkwall,KW15 1PD,344941,1010757,58.980401,-2.9595262,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,22,14,8,7,0,7,7,0,0,0,1.00 
y17_18,Grampian Highland & Islands,Lerwick,ZE1 0HD,447450,1141486,60.155106,-1.1471182,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1.00 ,29,19,10,9,1,8,8,0,0,0,1.00 
y17_18,Grampian Highland & Islands,Lochmaddy,HS6 5AE,91715,868925,57.604613,-7.1632564,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,12,11,1,0,0,0,0,0,0,0,1.00 
y17_18,Grampian Highland & Islands,Peterhead,AB42 1TP,413246,846284,57.506562,-1.7805994,5 ,2 ,2 ,4 ,1 ,3 ,3 ,0 ,0 ,0.93 ,114,54,60,60,13,47,39,1,3,4,0.92 
y17_18,Grampian Highland & Islands,Portree,IV51 9EH,148181,843655,57.413284,-6.1949906,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,8,5,3,3,0,3,3,0,0,0,1.00 
